Player,Seasons,Att,TD,TD_per_Game,Rating,Mean_Season_Rating,ANYA,Mean_Season_ANYA
Aaron Rodgers,15,7601,474,2.125560538116592,103.80569442617201,103.82666666666667,7.387343018960847,7.388000000000001
Patrick Mahomes,6,3555,219,2.305263157894737,103.74765588373184,103.93333333333334,7.772223723318022,7.81
Deshaun Watson,6,2089,118,1.7878787878787878,100.80680548906973,96.64999999999999,6.891304347826087,6.495
Russell Wilson,12,5665,334,1.7765957446808511,100.00404530744338,100.175,6.798934108527132,6.815
Kirk Cousins,10,4974,262,1.8450704225352113,99.36503149711832,99.06,6.972106261859582,7.003
Drew Brees,18,9872,542,2.0074074074074075,99.29176796326311,99.16111111111111,7.159723574070469,7.133333333333334
Dak Prescott,7,3651,193,1.7706422018348624,99.0008445174838,98.47142857142856,6.956140350877193,6.908571428571428
Peyton Manning,13,7186,423,2.094059405940594,98.93427034047686,98.0923076923077,7.359012412304371,7.299230769230769
Jimmy Garoppolo,7,1775,88,1.3134328358208955,98.11150234741785,97.61428571428571,7.074973600844773,7.025714285714286
Lamar Jackson,6,2112,125,1.4534883720930232,98.01728219696969,96.31666666666666,6.796580447172293,6.6866666666666665
Tony Romo,8,3690,206,1.823008849557522,97.61065943992774,97.7375,7.068321392016377,7.08125
Tom Brady,20,11458,599,1.889589905362776,96.19007098388316,96.25,6.972004665889019,6.9825
Philip Rivers,14,7644,399,1.78125,96.06772196057909,96.35714285714286,7.024867004824941,7.062857142857142
Matt Ryan,15,8464,381,1.6282051282051282,93.64366729678638,93.31333333333333,6.580987488829312,6.569999999999999
Jared Goff,8,4107,185,1.5811965811965811,93.5623123123123,91.3,6.673913043478261,6.38
Ben Roethlisberger,16,7977,386,1.6637931034482758,93.16968576323598,93.3,6.605163876444235,6.641875
Derek Carr,10,5506,242,1.5220125786163523,92.3484986075796,92.49,6.426995345630064,6.444
Josh Allen,6,3145,167,1.7765957446808511,92.23039215686275,90.23333333333333,6.459638554216867,6.296666666666667
Kyler Murray,5,2239,94,1.4461538461538461,92.16633169569748,91.78,6.019681742043551,5.970000000000001
Chad Pennington,5,2027,87,1.2428571428571429,91.90614208189443,91.62,6.400745573159366,6.36
Kurt Warner,7,2697,118,1.475,91.59791743912992,88.64285714285714,6.374392782789729,6.074285714285715
Teddy Bridgewater,5,1963,70,1.044776119402985,91.23047206656479,92.0,6.043867924528302,6.102
Ryan Tannehill,11,4764,216,1.3935483870967742,91.22498600615728,92.01818181818182,5.978181116045569,6.023636363636364
Matthew Stafford,14,7553,351,1.729064039408867,91.02812348294276,90.89285714285714,6.401720054842328,6.362857142857143
Matt Schaub,9,2932,123,1.1495327102803738,90.65342201000455,88.1,6.624028497409326,6.456666666666667
Tyrod Taylor,5,1566,61,1.0,90.58908045977012,88.82000000000001,6.06453488372093,5.884
Andrew Luck,6,3290,171,1.9883720930232558,89.53394123606888,88.33333333333333,6.418013856812933,6.305
Marcus Mariota,6,2065,91,1.1973684210526316,89.42393058918482,89.86666666666667,6.082740213523132,6.041666666666667
Carson Wentz,7,3284,151,1.6236559139784945,89.28517052375152,89.15714285714286,5.867651235444476,5.831428571428572
Colin Kaepernick,5,1687,72,1.0909090909090908,88.91399920964237,89.1,6.0635091496232505,6.128
Carson Palmer,12,5603,265,1.6358024691358024,88.45447379380094,88.31666666666666,6.2843617920541,6.297499999999999
Daunte Culpepper,6,2290,105,1.4583333333333333,88.27328966521107,83.78333333333333,5.88871096877502,5.43
Baker Mayfield,6,2825,130,1.4606741573033708,88.11873156342183,87.51666666666667,6.017792421746293,5.951666666666667
Alex Smith,13,5000,197,1.1796407185628743,88.01333333333332,85.53846153846153,5.83730378578024,5.567692307692307
Andy Dalton,12,5396,244,1.4698795180722892,87.60192735359526,87.66666666666667,5.973872147709458,5.94
Donovan McNabb,10,4116,186,1.488,87.50101230968578,87.44,6.209117713767294,6.192
Jameis Winston,7,2756,137,1.5930232558139534,87.33823173681664,85.31428571428572,6.30496936691627,6.01
Trent Green,6,2777,118,1.3409090909090908,87.30569559476653,85.94999999999999,6.429491525423729,6.2250000000000005
Mitchell Trubisky,5,1757,68,1.1724137931034482,86.60477139062796,86.1,5.622671633847792,5.6240000000000006
Marc Bulger,7,2793,111,1.3214285714285714,86.31474519632415,86.57142857142857,5.826578073089701,5.892857142857143
Steve McNair,6,2482,107,1.2891566265060241,86.1653908138598,85.43333333333334,6.0947812739831155,5.989999999999999
Case Keenum,7,2086,76,1.0555555555555556,85.96596356663473,86.34285714285714,5.85643115942029,5.872857142857143
Jeff Garcia,7,2413,106,1.2926829268292683,85.75338444536538,84.04285714285713,5.994085173501578,5.847142857142857
Nick Foles,6,1643,68,1.2363636363636363,85.55361128017854,84.83333333333333,5.8860103626943,5.726666666666667
Cam Newton,10,4385,194,1.3287671232876712,85.48318129988597,83.9,5.893865421354278,5.691000000000001
