Year,Contract_Status,rows
2001,2026 estimate,14
2001,missing,77
2001,source-labeled historical,16
2002,2026 estimate,15
2002,missing,75
2002,source-labeled historical,17
2003,2026 estimate,22
2003,missing,81
2003,source-labeled historical,18
2004,2026 estimate,17
2004,missing,77
2004,source-labeled historical,21
2005,2026 estimate,11
2005,missing,61
2005,source-labeled historical,26
2006,2026 estimate,17
2006,missing,52
2006,source-labeled historical,29
2008,2026 estimate,8
2008,missing,62
2008,source-labeled historical,33
2009,2026 estimate,12
2009,missing,55
2009,source-labeled historical,41
2010,2026 estimate,8
2010,missing,51
2010,source-labeled historical,43
2011,2026 estimate,8
2011,missing,44
2011,source-labeled historical,44
2012,2026 estimate,7
2012,missing,25
2012,source-labeled historical,53
2013,2026 estimate,10
2013,missing,23
2013,source-labeled historical,52
2014,2026 estimate,10
2014,missing,27
2014,source-labeled historical,63
2015,2026 estimate,7
2015,missing,14
2015,source-labeled historical,65
2016,2026 estimate,3
2016,missing,27
2016,source-labeled historical,66
2017,2026 estimate,3
2017,missing,25
2017,source-labeled historical,66
2018,2026 estimate,7
2018,missing,32
2018,source-labeled historical,67
2019,2026 estimate,6
2019,missing,33
2019,source-labeled historical,63
2020,2026 estimate,9
2020,missing,28
2020,source-labeled historical,75
2021,2026 estimate,12
2021,missing,29
2021,source-labeled historical,74
2022,2026 estimate,7
2022,missing,22
2022,source-labeled historical,77
2023,2026 estimate,9
2023,missing,22
2023,source-labeled historical,73
