Player,Year,APY_Million,ANYA,Fitted_ANYA,In_Sample_ANYA_Residual
Peyton Manning,2004,14.0,9.776470588235295,6.038064406060983,3.7384061821743115
Nick Foles,2013,0.69213,9.182608695652174,5.605455174163955,3.577153521488219
Aaron Rodgers,2011,12.704,9.394052044609666,5.995934330809381,3.3981177138002847
Brock Purdy,2023,0.934253,9.008474576271187,5.613326053955733,3.395148522315454
Patrick Mahomes,2018,4.106491,8.887788778877887,5.716448450295235,3.1713403285826525
Josh McCown,2013,0.865,8.540425531914893,5.611074793075024,2.9293507388398696
Matt Ryan,2016,20.75,9.026269702276707,6.257491881329749,2.7687778209469585
Ryan Tannehill,2019,7.0,8.517350157728707,5.810509987263746,2.706840170464961
Peyton Manning,2013,19.2,8.872968980797637,6.207104831453218,2.6658641493444195
Patrick Mahomes,2019,4.106491,8.3812375249501,5.716448450295235,2.6647890746548653
