era,metric,original_mask_mean,same_frame_mask_mean,original_years,correct_years
2001-2010,Att,377.1686363636364,350.3033333333333,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,Yds,2679.3404545454546,2426.6544444444444,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,TD,705.4090909090909,638.1111111111111,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,Int,423.09090909090907,465.0,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,Completion,61.24545454545454,59.21555555555555,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,Rating,84.28136363636362,79.42555555555555,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2001-2010,ANYA,5.666363636363638,5.2844444444444445,"2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2001,2002,2003,2004,2005,2006,2008,2009,2010"
2011-2020,Att,395.7676923076923,406.832,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,Yds,2854.2769230769236,2946.985,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,TD,752.0,759.9,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,Int,394.0769230769231,400.0,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,Completion,62.650769230769235,62.372,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,Rating,87.64307692307692,87.726,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
2011-2020,ANYA,5.930769230769231,6.003,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
