Tm,Rows,Players,Rating,Completion,TD
DAL,15,2,98.30205921082505,66.09453752894701,399
GNB,21,2,97.69519416138805,64.16965023409529,633
NOR,19,2,96.88076153870192,65.87606637292585,574
MIN,11,2,96.6284682265695,66.6283084004603,273
KAN,17,3,96.05525775547447,64.67837591240875,439
SDG,10,1,95.92968797985382,64.80560162152202,292
NWE,17,1,95.77701504186179,63.548318433375904,491
IND,15,2,94.49243518741473,64.18251866120876,454
PIT,16,1,93.16968576323598,64.44778738874264,386
SEA,19,2,92.6028434049626,62.7567375044521,438
BUF,6,1,92.23039215686275,63.24324324324324,167
ARI,10,2,91.64318455064621,64.58521190261497,199
LAR,5,1,91.49370095002065,63.44485749690211,107
TEN,15,3,91.38701467803031,63.56534090909091,260
ATL,19,2,91.14999653967266,63.55237205439634,434
OAK,6,1,90.66493107958547,63.990341080591605,143
DET,11,1,89.91378372497825,62.679503916449086,276
SFO,16,3,89.20694284618334,62.42807825086306,228
PHI,18,3,88.87992216117216,60.56318681318681,338
BAL,17,2,87.86462349010537,62.46466204060653,337
CIN,14,2,87.67056880206837,62.23786268313703,329
MIA,6,1,87.03982022214588,62.830642390930954,123
TAM,5,1,86.9162087912088,61.342229199372056,121
STL,7,1,86.31474519632415,62.585034013605444,111
CHI,7,1,85.52834503297173,61.86981493299298,150
NYG,19,2,84.9158460879803,61.30793107139034,399
HOU,11,2,84.47155106575019,62.52863986669444,174
CAR,15,2,84.10795454545453,59.31818181818182,298
JAX,10,2,82.02295498728877,60.31852848811126,170
