Player,Seasons,Rating,ANYA,NYA,Completion,TD,TD_per_Game,QB_Score
Aaron Rodgers,15,103.80569442617201,7.387343018960847,6.796355577443979,65.33350874884884,474,2.125560538116592,94.22744220489298
Drew Brees,18,99.29176796326311,7.159723574070469,7.090130426318863,67.73703403565641,542,2.0074074074074075,94.16251924345205
Patrick Mahomes,6,103.74765588373184,7.772223723318022,7.3426101053769255,66.49789029535864,219,2.305263157894737,93.34731787066647
Peyton Manning,13,98.93427034047686,7.359012412304371,7.304371289800324,66.4347342053994,423,2.094059405940594,93.25637221229324
Tom Brady,20,96.19007098388316,6.972004665889019,6.738710214964173,64.12113806947112,599,1.889589905362776,91.73469803022796
Philip Rivers,14,96.06772196057909,7.024867004824941,7.112087096375109,65.1883830455259,399,1.78125,89.06517126932692
Kirk Cousins,10,99.36503149711832,6.972106261859582,6.83168880455408,67.37032569360676,262,1.8450704225352113,87.58896226930084
Russell Wilson,12,100.00404530744338,6.798934108527132,6.490471576227391,64.74845542806707,334,1.7765957446808511,86.8139460553514
Tony Romo,8,97.61065943992774,7.068321392016377,7.061924257932446,65.25745257452574,206,1.823008849557522,86.44844526823573
Dak Prescott,7,99.0008445174838,6.956140350877193,6.77296181630547,66.94056422897836,193,1.7706422018348624,85.76010761481798
Ben Roethlisberger,16,93.16968576323598,6.605163876444235,6.750766328696062,64.44778738874264,386,1.6637931034482758,85.3887643526923
Matt Ryan,15,93.64366729678638,6.580987488829312,6.6496872207327975,65.58364839319471,381,1.6282051282051282,85.23199100915738
Deshaun Watson,6,100.80680548906973,6.891304347826087,6.745652173913044,66.53901388224031,118,1.7878787878787878,84.6645908105404
Jimmy Garoppolo,7,98.11150234741785,7.074973600844773,7.286166842661035,67.83098591549296,88,1.3134328358208955,83.43722766531555
Matthew Stafford,14,91.02812348294276,6.401720054842328,6.530724168016952,63.24639216205481,351,1.729064039408867,83.20224825709616
Jared Goff,8,93.5623123123123,6.673913043478261,6.671600370027752,64.69442415388362,185,1.5811965811965811,81.88338665238325
Lamar Jackson,6,98.01728219696969,6.796580447172293,6.588338448049101,64.48863636363636,125,1.4534883720930232,81.57961164936758
Derek Carr,10,92.3484986075796,6.426995345630064,6.4226857438372695,64.94733018525245,242,1.5220125786163523,81.0391056921811
Josh Allen,6,92.23039215686275,6.459638554216867,6.510843373493976,63.24324324324324,167,1.7765957446808511,80.77118698158327
Andrew Luck,6,89.53394123606888,6.418013856812933,6.508949191685912,60.790273556231,171,1.9883720930232558,80.42702751760982
Carson Palmer,12,88.45447379380094,6.2843617920541,6.628402366863905,62.34160271283241,265,1.6358024691358024,80.3641070247139
Kurt Warner,7,91.59791743912992,6.374392782789729,6.789035392088827,66.11049314052651,118,1.475,79.42071079494342
Eli Manning,14,84.84845940257065,5.998593710048581,6.396829455382255,60.55354023915088,337,1.5601851851851851,78.58195884063107
Matt Schaub,9,90.65342201000455,6.624028497409326,6.9057642487046635,63.94952251023192,123,1.1495327102803738,78.4284350603112
Jameis Winston,7,87.33823173681664,6.30496936691627,6.8121170864533696,61.06676342525399,137,1.5930232558139534,77.93248665188304
Chad Pennington,5,91.90614208189443,6.400745573159366,6.638397017707362,66.10754810064134,87,1.2428571428571429,77.74678034519798
Ryan Tannehill,11,91.22498600615728,5.978181116045569,6.143270901718479,64.29471032745592,216,1.3935483870967742,77.61842818553438
Andy Dalton,12,87.60192735359526,5.973872147709458,6.25256923880857,62.52779836916234,244,1.4698795180722892,77.36312394500794
Trent Green,6,87.30569559476653,6.429491525423729,6.926101694915254,61.937342455887645,118,1.3409090909090908,77.33971915794692
Brett Favre,9,84.93559075767241,5.826378994504376,6.4125788723794015,62.66213055496492,225,1.5957446808510638,76.83193396016755
Kyler Murray,5,92.16633169569748,6.019681742043551,6.099246231155779,66.63689146940598,94,1.4461538461538461,76.59810454893265
Donovan McNabb,10,87.50101230968578,6.209117713767294,6.283964617827172,59.35374149659864,186,1.488,76.5680637822044
Carson Wentz,7,89.28517052375152,5.867651235444476,5.8534507242260725,62.606577344701584,151,1.6236559139784945,75.74339132287226
Daunte Culpepper,6,88.27328966521107,5.88871096877502,6.417133706965572,64.19213973799127,105,1.4583333333333333,75.58449558951583
Baker Mayfield,6,88.11873156342183,6.017792421746293,6.25831960461285,61.94690265486726,130,1.4606741573033708,75.5690467820757
Jay Cutler,9,85.11356385100105,5.77025202520252,6.274302430243024,61.95262024407753,194,1.5275590551181102,75.44156695172236
Teddy Bridgewater,5,91.23047206656479,6.043867924528302,6.253773584905661,66.68364747834947,70,1.044776119402985,74.63472887700384
Marcus Mariota,6,89.42393058918482,6.082740213523132,6.334074733096085,62.663438256658594,91,1.1973684210526316,74.61222585674085
