Player,QB_Score_pooled,QB_Score_original
Aaron Rodgers,94.22744220489298,94.14454244297619
Drew Brees,94.16251924345205,93.79791688665861
Patrick Mahomes,93.34731787066647,93.39008363693183
Peyton Manning,93.25637221229324,92.59592216192326
Tom Brady,91.73469803022796,91.63275606357571
Philip Rivers,89.06517126932692,89.12486059555067
Kirk Cousins,87.58896226930084,87.57736659424047
Russell Wilson,86.8139460553514,86.76920646572948
Tony Romo,86.44844526823573,86.5211459092559
Dak Prescott,85.76010761481798,85.26140446168887
Ben Roethlisberger,85.3887643526923,85.44875696178559
Matt Ryan,85.23199100915738,84.92804252337167
Deshaun Watson,84.6645908105404,81.22745751700306
Jimmy Garoppolo,83.43722766531555,82.7299885726239
Matthew Stafford,83.20224825709616,82.86573667723172
Jared Goff,81.88338665238325,79.58190101962937
Lamar Jackson,81.57961164936758,80.33085793343366
Derek Carr,81.0391056921811,81.00772322157242
Josh Allen,80.77118698158327,79.22052542535111
Andrew Luck,80.42702751760982,79.40472892190927
Carson Palmer,80.3641070247139,80.26486556502225
Kurt Warner,79.42071079494342,77.13753794155205
Eli Manning,78.58195884063107,77.32591559535282
Matt Schaub,78.4284350603112,76.3614923697962
Jameis Winston,77.93248665188304,75.58578648564249
Chad Pennington,77.74678034519798,77.31125869136294
Ryan Tannehill,77.61842818553438,77.98015333059195
Andy Dalton,77.36312394500794,77.13670341561928
Trent Green,77.33971915794692,75.88010296782943
Brett Favre,76.83193396016755,76.73728253005618
Kyler Murray,76.59810454893265,76.09622227021778
Donovan McNabb,76.5680637822044,76.27975035792326
Carson Wentz,75.74339132287226,75.42334566437151
Daunte Culpepper,75.58449558951583,72.18134872343214
Baker Mayfield,75.5690467820757,74.93126520898431
Jay Cutler,75.44156695172236,75.32870487883217
Teddy Bridgewater,74.63472887700384,74.8302271743415
Marcus Mariota,74.61222585674085,74.23781348687231
Cam Newton,74.56007594012831,73.06499548208801
Alex Smith,74.5580284055607,72.6175527028332
Steve McNair,74.47670472840343,73.67610086619531
Ryan Fitzpatrick,74.28824031645908,74.7759867385468
Marc Bulger,73.73293795425468,73.96008909037283
Jeff Garcia,73.46739697895534,72.18047411888459
Joe Flacco,73.4591124910243,73.44505938697885
Tyrod Taylor,72.75599137713094,71.52041984600818
Colin Kaepernick,72.35282573814776,72.61190373328482
Nick Foles,71.86455273186658,70.59510596289006
Jake Delhomme,71.80584294794316,70.90550056781882
Case Keenum,71.70671199671037,71.49046587270547
Mitchell Trubisky,71.41140150299398,71.29465116258751
Matt Hasselbeck,70.78712973666312,69.55178053642442
Brian Griese,70.78558866334266,68.20887463093331
Sam Bradford,70.74383979699583,70.38502584966032
Jake Plummer,69.96283826009856,70.09504192098689
David Garrard,69.87820553223015,69.99788245632136
Blake Bortles,69.38546847668411,69.02039489397575
Josh McCown,69.25108330823444,69.30862440934106
Kyle Orton,69.10649285018556,68.29193709046851
Jason Campbell,68.64481491093836,66.81863266737436
Kerry Collins,68.32085471696027,67.70828224234691
Michael Vick,68.3003068388111,66.75630943568336
Daniel Jones,68.11745065637068,66.29802934197878
Mark Brunell,67.95910727836817,66.99717886656327
Aaron Brooks,67.85351442071672,66.13153079877081
Matt Cassel,67.76296678283181,66.84882929128881
Jon Kitna,67.33412538917595,68.12321243372597
Brad Johnson,67.03147115299966,64.11076320625048
Drew Bledsoe,66.7818838416701,65.60992594778425
Sam Darnold,64.96785583726191,66.0828126250695
Mark Sanchez,64.59476591137427,64.84504557245326
Seneca Wallace,63.69431453022379,62.88139689986013
David Carr,60.48211664176516,62.66356571245313
Blaine Gabbert,59.58899363963662,60.30919063668285
Joey Harrington,58.918628733432435,58.86541334340583
