Year,rows,players,attempts,touchdowns
2001,107,107,16181,635
2002,107,107,17292,694
2003,121,121,16493,654
2004,115,115,16354,732
2005,98,98,16464,644
2006,98,98,16389,648
2008,103,103,16526,646
2009,108,108,17033,710
2010,102,102,17269,751
2011,96,96,17410,745
2012,85,85,17788,757
2013,85,85,18136,804
2014,100,100,17879,807
2015,86,86,18298,842
2016,96,96,18295,786
2017,94,94,17488,741
2018,106,106,17671,847
2019,102,102,17853,797
2020,112,112,18018,871
2021,115,115,18712,840
2022,106,106,18069,750
2023,104,104,18315,754
